,Object ID,Title,Post Type,Author,Created At,URL,Points,Number of Comments
2294662,16044184,The 7 Most Important Scientific Breakthroughs of 2017,story,SQL2219,01/01/2018 01:51,http://www.visualcapitalist.com/7-important-scientific-breakthroughs-2017/,3,0
2294665,16044204,BSP and SEC Did Not Authorize Noah Coins and Noah Foundation in the Philippines,story,krrw,01/01/2018 01:57,https://tokyo.philembassy.net/01announcements/notice-to-the-public-9/,2,0
2294666,16044212,DNA Self-Assembly Scaled Up,story,indescions_2018,01/01/2018 02:00,https://www.nature.com/articles/d41586-017-07690-y,1,0
2294667,16044223,How to make a list out of thin air,story,grandtour001,01/01/2018 02:04,http://nuggetweekly.com/#!/blog/list,2,0
2294668,16044241,This Week in Redox 34,story,goyox86,01/01/2018 02:11,https://redox-os.org/news/this-week-in-redox-34/,2,0
2294671,16044268,Wav2letter â€“ End to end speech recognition from FAIR,story,tim_sw,01/01/2018 02:17,https://www.facebook.com/yann.lecun/posts/10154992369657143,3,0
2294672,16044274,United States National Radio Quiet Zone,story,DoreenMichele,01/01/2018 02:18,https://en.wikipedia.org/wiki/United_States_National_Radio_Quiet_Zone,2,0
2294673,16044280,How to write your own custom middleware in Express application?,story,nodexplained,01/01/2018 02:20,https://www.nodexplained.com/blog-detail/2017/12/31/write-and-implement-middlewares-in-express-application-part-1,1,0
2294674,16044283,How to write router specific middleware in Express application?,story,nodexplained,01/01/2018 02:20,https://www.nodexplained.com/blog-detail/2017/12/31/write-and-implement-router-specific-middleware-in-express-application-part-2,1,0
2294676,16044335,What sugar does to your brain,story,piotrkaminski,01/01/2018 02:38,http://www.theage.com.au/interactive/2017/what-sugar-does-to-your-brain/,164,65
2294677,16044349,China wants to land on the far side of the moon,story,perseusprime11,01/01/2018 02:43,https://www.theguardian.com/science/2017/dec/31/china-mission-to-far-side-of-the-moon-space-discovery,3,0
2294678,16044362,U.S. oil production booms as new year begins,story,kimsk112,01/01/2018 02:46,https://www.msn.com/en-us/money/markets/us-oil-production-booms-as-new-year-begins/ar-BBHBtx6,32,22
2294679,16044371,Using the Blockchain to Fight Corruption,story,andrenth,01/01/2018 02:48,http://quillette.com/2017/12/25/using-blockchain-fight-corruption/,1,0
2294680,16044382,What Depth Psychology Can Tell Us About Victimhood Culture,story,andrenth,01/01/2018 02:50,http://quillette.com/2017/12/27/collision-reality-depth-psychology-can-tell-us-victimhood-culture/,20,0
2294681,16044397,Toshi: A Dapp Browser for the Ethereum Network,story,sna1l,01/01/2018 02:54,https://blog.toshi.org/toshi-a-dapp-browser-for-the-ethereum-network-5a64bde25757,3,0
2294683,16044462,Start a blog with Harp (2013),story,indigodaddy,01/01/2018 03:14,http://kennethormandy.com/journal/start-a-blog-with-harp/,2,0
2294684,16044472,On the quantum â€œself-teleportationâ€ probability of a human body,story,wadkar,01/01/2018 03:17,https://arxiv.org/abs/1712.08465,2,0
2294685,16044474,"The Amazon Flywheel: Part 2, Amazon and the Global Supply Chain",story,gmays,01/01/2018 03:17,http://www.samseely.com/blog/amznsupplychain,1,0
2294686,16044521,Coinbase Insolvent?,story,cobookman,01/01/2018 03:31,,26,22
2294687,16044532,Let us Apple users celebrate the new year,story,makecheck,01/01/2018 03:35,,2,0
2294688,16044568,"Tiny, weird online communities made a comeback in 2017",story,prostoalex,01/01/2018 03:46,https://www.theverge.com/2017/12/28/16795090/internet-community-2017-post-mortem-tumblr-amino-drip-tinyletter,268,84
2669466,19783497,The multiparty symmetrical Schnorr signature scriptless script shuffle,story,hippich,29/04/2019 23:11,https://joinmarket.me/blog/blog/multiparty-s6/,1,0
2669467,19783513,Soon you won't need a passport at the airport. Here's why that's bad news,story,empressplay,29/04/2019 23:14,https://www.abc.net.au/news/2019-04-29/passports-airport-delays-future-of-travel/11054472,2,0
2669468,19783524,Remittances sent by foreign workers back to their home amount to $700B,story,betocmn,29/04/2019 23:16,https://www.axios.com/remittances-aid-juggernaut-world-bank-0fbed928-d471-498b-bf61-db9ec48a399d.html,2,0
2669469,19783525,Bernie Sanders' 2020 campaign unveils tech tool to increase its voter database,story,NN88,29/04/2019 23:16,https://www.nbcnews.com/politics/2020-election/bernie-sanders-2020-campaign-unveils-app-increase-its-voter-database-n999206,2,2
2669470,19783529,"â€œHey Google, how many legs does a horse have?â€",story,lawrenceyan,29/04/2019 23:17,https://twitter.com/MKBHD/status/1122630624714608640,9,5
2669471,19783531,Pedigree Collapse,story,boapnuaput,29/04/2019 23:17,https://en.wikipedia.org/wiki/Pedigree_collapse,1,0
2669472,19783534,Global solar rooftop PV system performance check tool,story,layoric,29/04/2019 23:17,https://solcast.com.au/rooftop-solar/free-pv-system-performance-estimation-tool/,2,1
2669473,19783556,"Across the world, women outlive men. This is why",story,Elof,29/04/2019 23:20,https://bigthink.com/surprising-science/across-the-world-women-outlive-men-this-is-why-2635859559,2,2
2669474,19783574,How Artificial intelligence systems could threaten democracy,story,oblib,29/04/2019 23:21,https://theconversation.com/how-artificial-intelligence-systems-could-threaten-democracy-109698,3,0
2669475,19783594,Scanimate: The Origins of Computer Motion Graphics,story,l33tbro,29/04/2019 23:25,https://vimeo.com/172607783,1,0
2669476,19783601,Correspondentâ€™s first U.S. employee speaks out,story,KC8ZKF,29/04/2019 23:26,https://www.niemanlab.org/2019/04/i-felt-like-it-was-a-betrayal-and-we-had-raised-funds-on-false-pretense-the-correspondents-first-u-s-employee-speaks-out/,2,0
2669477,19783604,How to Create Custom OPC UA Information Models,story,traversaro,29/04/2019 23:26,https://opcua.rocks/custom-information-models/,1,0
2669478,19783606,"Getting to Know Python 3.7- Data Classes, Async-Await and More",story,joeyespo,29/04/2019 23:26,https://blog.heroku.com/python37-dataclasses-async-await,95,13
2669479,19783624,Thoughts on macOS Package Managers,story,pplonski86,29/04/2019 23:30,https://saagarjha.com/blog/2019/04/26/thoughts-on-macos-package-managers/,124,91
2669480,19783634,Unprotected Database Puts 65% of American Households at Risk,story,Vaslo,29/04/2019 23:31,http://fortune.com/2019/04/29/security-gap-personal-information-breach/,3,1
2669481,19783647,DHS Used a Private Intelligence Firm to Monitor Family Separation Protests,story,nsriv,29/04/2019 23:33,https://theintercept.com/2019/04/29/family-separation-protests-surveillance/,3,0
2669482,19783650,I Canâ€™t Answer Standardized Test Questions About My Own Poems (2017),story,ilamont,29/04/2019 23:33,https://www.huffpost.com/entry/standardized-tests-are-so-bad-i-cant-answer-these_b_586d5517e4b0c3539e80c341,617,443
2669483,19783659,"Hotmail, MSN, and Outlook.com Email Breach Targeted Cryptocurrency Users",story,turtlegrids,29/04/2019 23:34,https://motherboard.vice.com/en_us/article/xwndwn/microsoft-outlook-msn-hotmail-breach-cryptocurrency-bitcoin,1,0
2669484,19783668,Biomarker for chronic fatigue syndrome identified,story,daegloe,29/04/2019 23:37,http://med.stanford.edu/news/all-news/2019/04/biomarker-for-chronic-fatigue-syndrome-identified.html,17,0
2669485,19783678,How Cults Made America,story,samclemens,29/04/2019 23:37,https://www.newyorker.com/books/under-review/how-cults-corrected-america,2,0
2669486,19783687,Slime molds display surprisingly complex decision-making behavior,story,pseudolus,29/04/2019 23:39,https://www.scientificamerican.com/article/slime-thinks-fast-and-slow/,3,0
2669487,19783694,Chinese cosmic-ray observatory begins operation,story,SiempreViernes,29/04/2019 23:40,https://physicsworld.com/a/huge-chinese-cosmic-ray-observatory-begins-operation/,3,0
2669488,19783711,The Race to Develop the Moon,story,pseudolus,29/04/2019 23:44,https://www.newyorker.com/magazine/2019/05/06/the-race-to-develop-the-moon,2,0
2669489,19783712,Oddly Satisfying Vol.5,story,inflatableDodo,29/04/2019 23:44,https://www.andreaswannerstedt.se/oddly-satisfying-vol5,1,0
2669490,19783736,The Rise of Genetic Genealogy,story,bookofjoe,29/04/2019 23:48,https://www.theguardian.com/lifeandstyle/2019/apr/29/dna-search-angels-adoption-facebook-detectives-reunite-families,1,1
2669491,19783754,On the Logical Geometry of the Tetrahedron [pdf],story,adamnemecek,29/04/2019 23:51,http://www.crissp.be/wp-content/uploads/2018/02/jasperssmessaert.pdf,2,0
2669492,19783772,How to fix a bug in an open-source project,story,feross,29/04/2019 23:54,https://nolanlawson.com/2015/12/,2,0
2669493,19783778,"In Month After â€˜13 Reasons Whyâ€™ Debut on Netflix, Study Finds Teen Suicide Grew",story,arusahni,29/04/2019 23:55,https://www.nytimes.com/2019/04/29/health/13-reasons-why-teen-suicide.html,2,1
2669494,19783798,Meta-Sim: Learning to generate synthetic datasets,story,AndrewKemendo,29/04/2019 23:59,https://nv-tlabs.github.io/meta-sim/,7,0
